Loan Date,Loan Time,Return Date,Return Time,Due Date,Barcode,User ID Encryption,Patron Id,Patron Group,Item Policy,Policy Name,Description,Library Name
2023-01-09,09:57:13,2023-01-23,12:23:59,2023-01-23,MP031,430366C30B1ACB0EB5EA78F10CA1400CA5462DC0,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-RC1-10,Campus Library Instructional Computing Commons
2023-01-09,09:57:27,2023-01-09,12:06:41,2023-01-09,WALLADPT17,221911829BE836158F5E207CE32A7F92734EA2D1,-1,UCLA Graduate,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,ADP-BIO-01,Biomed Library
2023-01-09,10:00:33,2023-01-11,16:32:38,2023-01-16,MP176,CF89AF95C9FA53C8948A7A87FC528BE432728495,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CMM-16,Campus Library Instructional Computing Commons
2023-01-09,10:01:29,2023-01-26,15:16:26,2023-01-16,HP118,355A37A412027695D206634FF8740A144CC43E77,-1,UCLA Graduate,CLICC Chromebook,1 Week,WL-PC2-07,Campus Library Instructional Computing Commons
2023-01-09,10:01:50,2023-01-09,17:04:09,2023-01-09,MACUSBC24C24,61826808E625196E92C4581A40F49ECEDC15AB53,-1,UCLA Graduate,CLICC Laptop Charger,CLICC 6 Hour Loan Period,USBC-POW-07,Campus Library Instructional Computing Commons
2023-01-09,10:02:54,2023-01-23,12:10:20,2023-01-23,CBK038,96F48940A4530292F212E87F2DBC429ED31086E6,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CPOW-04,Campus Library Instructional Computing Commons
2023-01-09,10:10:28,2023-01-09,16:53:25,2023-01-09,MACUSBC27C27,6ED8E5E1C01DAF3AA9D8BE47644F250A643AC64A,-1,UCLA Undergrad,CLICC Laptop Charger,CLICC 6 Hour Loan Period,USBC-POW-10,Campus Library Instructional Computing Commons
2023-01-09,10:11:56,2023-01-26,14:35:19,2023-01-23,CLICC-MM-081,BF4160BE8175B3D7B16DFD47C986187CF4A5A2CB,-1,UCLA Undergrad,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,10:29:55,2023-01-09,10:32:51,2023-01-16,MP012,0A751DECEE11FC9A644FA5A77777FAC00005578B,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-BIO-02,Campus Library Instructional Computing Commons
2023-01-09,10:33:55,2023-01-09,10:34:21,2023-01-16,MP102,0A751DECEE11FC9A644FA5A77777FAC00005578B,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CLA-20,Campus Library Instructional Computing Commons
2023-01-09,10:36:15,2023-01-09,10:57:05,2023-01-09,MACUSBC19C19,F97E077FD4FD1E3CF7A2DCCC16B384218A1B0456,-1,UCLA Undergrad,CLICC Laptop Charger,CLICC 6 Hour Loan Period,USBC-POW-02,Campus Library Instructional Computing Commons
2023-01-09,10:36:33,2023-01-09,10:49:00,2023-01-16,CLICC-ML-0017,58916B7366F2F43BEDD39F04D7B6318307C5E084,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 169,Campus Library Instructional Computing Commons
2023-01-09,10:48:14,2023-01-11,12:56:11,2023-01-09,WALLADPT48,5FD5A5D84D85313F6B8FBF894A5A44288C8F0215,-1,UCLA Undergrad,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,,Campus Library Instructional Computing Commons
2023-01-09,10:48:17,2023-01-11,12:56:17,2023-01-09,IPHONE48,5FD5A5D84D85313F6B8FBF894A5A44288C8F0215,-1,UCLA Undergrad,CLICC Phone Cable,CLICC 6 Hour Loan Period,IPH-POW-04,Campus Library Instructional Computing Commons
2023-01-09,10:50:03,2023-01-11,15:02:49,2023-01-16,CLICC-ML-0126,58916B7366F2F43BEDD39F04D7B6318307C5E084,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 9,Campus Library Instructional Computing Commons
2023-01-09,10:54:02,2023-01-13,15:56:37,2023-01-15,CBK229,44CF13692FF1D31C5C19BA17FB88538F48F712C2,-1,UCLA Graduate,CLICC Chromebook,1 Week,CBK-BOE-20,SEL/EMS
2023-01-09,10:55:38,2023-01-23,13:52:52,2023-01-16,CLICC-ML-2033,B5B0204AE024290B721298475A7ACBD05B13062E,-1,UCLA Graduate,CLICC Chromebook,1 Week,CLICC-ML-2033,Campus Library Instructional Computing Commons
2023-01-09,10:57:27,2023-01-20,14:01:59,2023-01-20,CLICC-MM-061,4ABF219027FD0D0D355E2DCF59FDA4B9BD9763FE,-1,UCLA Undergrad,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,10:58:49,2023-01-23,10:58:22,2023-01-23,HP160,C6EFC9F40E8E070605248E5433819CBCB42309BE,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-LAB-09,Campus Library Instructional Computing Commons
2023-01-09,11:01:49,2023-02-07,16:57:51,2023-01-16,MP007,4DCC8C5BF8D0114D9A77959BFF0E9AF5C556494B,-1,UCLA Music Undergrad,CLICC Chromebook,1 Week,ML-MUS-02,Campus Library Instructional Computing Commons
2023-01-09,11:04:10,2023-01-24,14:10:22,2023-01-16,CBK404,B4C228E0429B1A8EA2B3BD0558EB9FEDB663E10D,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CBK-CLICC-155,Campus Library Instructional Computing Commons
2023-01-09,11:04:14,2023-01-10,16:00:28,2023-01-16,MP130,E644E73EC2EEE7CBAA8A48654B3E4C15E607A757,-1,UCLA Graduate,CLICC Chromebook,1 Week,ML-PC1-06,Campus Library Instructional Computing Commons
2023-01-09,11:06:13,2023-01-23,17:06:50,2023-01-23,HP005,0CAAC85EA27128BEB0F987B49A1420508FA7AC5A,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-BIO-05,Campus Library Instructional Computing Commons
2023-01-09,11:06:26,2023-01-24,09:16:35,2023-01-23,CBK168,BA6F1FD9C65DFD507C3AA077F6F21C32D4A1DC65,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CL-BOE-14,Campus Library Instructional Computing Commons
2023-01-09,11:24:09,2023-01-30,11:18:42,2023-01-23,HP102,35879E8D36E0246852AD6C65C3ECDBE649E62F4E,-1,UCLA Undergrad,CLICC Chromebook,1 Week,W-POW-11,Campus Library Instructional Computing Commons
2023-01-09,11:24:18,2023-01-13,14:40:24,2023-01-18,CLICC-ML-0106,FB5E08932CCC28CC394C3E35E1D78127C7D46E22,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 102,Campus Library Instructional Computing Commons
2023-01-09,11:32:15,2023-01-09,15:42:58,2023-01-16,CBK381,2B3F7590F364DA6E3723F42BDC1DAE7E8C75EC45,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CBK-CLICC-132,Campus Library Instructional Computing Commons
2023-01-09,11:35:42,2023-03-16,12:04:42,2023-04-09,AD2001,1CD6FA9F3453A5A1F108226596AA21F5ADAEFE41,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 1,SEL/EMS
2023-01-09,11:38:29,2023-01-23,10:49:25,2023-01-23,HP021,B3C002F2C0529E2080638C3E5A76937BD3DBCCED,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-BCR-11,Campus Library Instructional Computing Commons
2023-01-09,11:38:44,2023-01-20,15:26:04,2023-04-09,AD2377,70F798BF0F420B138552C14EC6E94DB810BA32CA,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,,SEL/EMS
2023-01-09,11:39:38,2023-01-09,13:53:17,2023-01-09,WALLADPT47,808E781DE7E2DF7EE4709DB26DECC0298FF87E2C,-1,UCLA Undergrad,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,,Campus Library Instructional Computing Commons
2023-01-09,11:39:43,2023-01-09,13:53:12,2023-01-09,IPHONE34,808E781DE7E2DF7EE4709DB26DECC0298FF87E2C,-1,UCLA Undergrad,CLICC Phone Cable,CLICC 6 Hour Loan Period,IPH-YRL-10,Campus Library Instructional Computing Commons
2023-01-09,11:47:27,,,2023-06-01,AD2033,,6200523990006533,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 33,SEL/EMS
2023-01-09,12:00:02,2023-01-13,10:46:05,2023-01-16,CLICC-ML-0108,BC22598B78FD146D3E4854145C09C8FEEA0EF6CB,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 176,Campus Library Instructional Computing Commons
2023-01-09,12:01:00,2023-01-23,18:55:43,2023-01-20,MP160,3899286B3154D979CC7168BB42A9DF255C6F713D,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-UNA-06,Campus Library Instructional Computing Commons
2023-01-09,12:05:10,2023-01-23,13:49:38,2023-01-20,MP170,EE8E05ECB85E127B99850AB0C07A5B7B6E2ABF17,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CMM-10,Campus Library Instructional Computing Commons
2023-01-09,12:17:51,2023-01-10,10:01:37,2023-01-09,IPHONE60,A91F7E51EA0B16A2F1A15DD71A4805842ABDE131,-1,UCLA Graduate,CLICC Phone Cable,CLICC 6 Hour Loan Period,IPH-BIO-04,Biomed Library
2023-01-09,12:17:59,2023-01-10,10:01:42,2023-01-09,WALLADPT17,A91F7E51EA0B16A2F1A15DD71A4805842ABDE131,-1,UCLA Graduate,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,ADP-BIO-01,Biomed Library
2023-01-09,12:22:11,2023-01-09,12:36:45,2023-01-16,CBK207,ED0034B05BCD76D63DC40B7BEA50F2599BB18884,-1,UCLA Graduate,CLICC Chromebook,1 Week,CBK-BIO-18,Biomed Library
2023-01-09,12:24:30,2023-01-16,15:00:55,2023-01-16,HP107,B1462874281C6E238D4F8542B35F3202D3EADC2D,-1,UCLA Undergrad,CLICC Chromebook,1 Week,W-POW-16,Campus Library Instructional Computing Commons
2023-01-09,12:31:14,2023-01-23,13:08:37,2023-01-23,CLICC-MM-016,246D3701D45782500DA7F061E810BA8DAB257FE5,-1,UCLA Undergrad,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,12:31:35,2023-01-17,10:56:54,2023-01-17,MP169,CF5F7BA8B78233FD869EF9E58EFEB553CA1694BE,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CMM-09,Campus Library Instructional Computing Commons
2023-01-09,12:32:37,2023-01-09,13:04:07,2023-01-16,CLICC-ML-0015,1E9F24DB06AD9C6ABC196206ABBB8333E9CD38BD,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 155,Campus Library Instructional Computing Commons
2023-01-09,12:34:47,2023-01-09,12:40:43,2023-01-16,HP100,D9D0CBDA657311DE7AAA467386A726EE557B3A5E,-1,UCLA Graduate,CLICC Chromebook,1 Week,WL-POW-09,Campus Library Instructional Computing Commons
2023-01-09,12:44:12,2023-01-09,12:54:46,2023-01-16,CLICC-ML-0004,C50470F520ABD92CEC0360C9AA5A5EC81E223DB5,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 126,Campus Library Instructional Computing Commons
2023-01-09,12:52:13,2023-03-21,20:27:27,2023-04-09,AD2197,6D0ED13209374770FBD3244D9B72D9B9BA040BE3,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 197,SEL/EMS
2023-01-09,12:55:32,2023-01-09,16:32:25,2023-01-09,WALLADPT46,B25472C5FF3C4338F80E22195E80EBCEB6F8AD24,-1,UCLA Undergrad,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,,Campus Library Instructional Computing Commons
2023-01-09,12:55:38,2023-01-09,16:32:28,2023-01-09,IPHONE46,B25472C5FF3C4338F80E22195E80EBCEB6F8AD24,-1,UCLA Undergrad,CLICC Phone Cable,CLICC 6 Hour Loan Period,IPH-POW-02,Campus Library Instructional Computing Commons
2023-01-09,12:55:46,2023-01-23,13:07:07,2023-01-20,CLICC-ML-0137,C50470F520ABD92CEC0360C9AA5A5EC81E223DB5,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 60,Campus Library Instructional Computing Commons
2023-01-09,13:01:02,2023-01-09,14:43:50,2023-01-09,IPHONE25,EDF73FB53E984CEE95AEF79F038158B16B465D32,-1,UCLA Graduate,CLICC Phone Cable,CLICC 6 Hour Loan Period,IPH-YRL-01,Campus Library Instructional Computing Commons
2023-01-09,13:04:21,2023-01-23,13:46:01,2023-01-23,MP072,1E9F24DB06AD9C6ABC196206ABBB8333E9CD38BD,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-POW-11,Campus Library Instructional Computing Commons
2023-01-09,13:11:09,2023-01-09,14:45:35,2023-01-16,CBK194,5531F95F06764602E4BE024615F13AE986C8CCAC,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CBK-BIO-05,Biomed Library
2023-01-09,13:15:13,2023-01-09,14:31:23,2023-01-09,MACCHRG49,1493E1042683DD3617553D1756AD643C5003B704,-1,UCLA Undergrad,CLICC Laptop Charger,CLICC 6 Hour Loan Period,MAGT-POW-03,Campus Library Instructional Computing Commons
2023-01-09,13:20:17,2023-01-23,10:47:58,2023-01-23,HP144,6DC6CBB1E7AE1A77649A1050A35FA27F5942C7D9,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-UNA-03,Campus Library Instructional Computing Commons
2023-01-09,13:30:20,2023-01-23,15:24:50,2023-01-23,CLICC-MM-0028,19C48EE828D6ABE9AFCA8A55AD3EEDF220F33062,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS iPad 29,Campus Library Instructional Computing Commons
2023-01-09,13:31:41,2023-01-09,14:53:04,2023-01-09,MACCHRG63,C3EF685FBE57DE029C61691E046046E183BCD523,-1,UCLA Graduate,CLICC Laptop Charger,CLICC 6 Hour Loan Period,MAGT-BIO-02,Biomed Library
2023-01-09,13:34:49,2023-01-23,15:19:54,2023-01-23,HP006,D03A4977992C0A0E014CBCA160009A5EB53AFCBB,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-BIO-06,Campus Library Instructional Computing Commons
2023-01-09,13:35:10,2023-01-09,14:43:44,2023-01-09,WALLADPT12,EDF73FB53E984CEE95AEF79F038158B16B465D32,-1,UCLA Graduate,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,ADP-POW-01,Campus Library Instructional Computing Commons
2023-01-09,13:42:20,2023-03-07,14:05:43,2023-04-09,AD2129,ACA3CE3C1B65EC608A827F5EBBD8D6E735A265D5,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 129,SEL/EMS
2023-01-09,13:45:12,2023-03-07,14:27:42,2023-04-09,AD2247,70EE507CDF4DB9C35A4E91214827F9349928DC21,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 247,SEL/EMS
2023-01-09,13:48:23,2023-03-15,11:45:40,2023-04-09,AD2260,A38056A612C64B1765DFAB8F15579B1192DDC56A,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 260,SEL/EMS
2023-01-09,13:48:59,2023-01-09,15:16:49,2023-01-09,HDST17,B5B0204AE024290B721298475A7ACBD05B13062E,-1,UCLA Graduate,CLICC Headset,CLICC 6 Hour Loan Period,HDS-POW-06,Campus Library Instructional Computing Commons
2023-01-09,13:50:05,2023-01-10,11:16:11,2023-01-16,HP131,5E71B6FBE89D901B69BAC57F6DC9646EBF041917,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-PC2-20,Campus Library Instructional Computing Commons
2023-01-09,13:50:29,2023-03-16,13:45:40,2023-04-09,AD2110,0D1A099ED5851B7637FAF2F3D5E59F6C308D9C97,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 110,SEL/EMS
2023-01-09,13:50:40,2023-01-23,10:13:15,2023-01-23,CLICC-ML-0008,2D37B9781E91D86D6B6B8C0468B37CC020ACDE18,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 68,Campus Library Instructional Computing Commons
2023-01-09,13:53:41,2023-01-23,11:57:27,2023-01-20,HP096,3074A17E8F596A89A6464357115B6FF19F293D7F,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-POW-05,Campus Library Instructional Computing Commons
2023-01-09,13:53:53,2023-02-08,14:33:07,2023-04-09,AD2279,EC6DE85F92FEB5F605B9503D927515814D932452,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 279,SEL/EMS
2023-01-09,13:55:53,2023-01-19,12:37:12,2023-01-23,CBK262,2AEF827F63233B32B5D798AE870D1AA50FD4EAE8,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CBK-CLICC-13,CLICC Locker
2023-01-09,13:57:03,,,2023-06-01,AD2095,,5558261410006533,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 95,SEL/EMS
2023-01-09,14:10:36,2023-01-24,12:14:01,2023-01-23,MP038,BCB596A103F518265F2DCE92E6EBB2B86953A5A3,-1,UCLA Graduate,CLICC Chromebook,1 Week,ML-RC1-17,Campus Library Instructional Computing Commons
2023-01-09,14:12:26,2023-01-09,15:46:30,2023-01-16,CLICC-ML-2096,D6466A4C3721639D35161A54BA9DC9F85E13A1B5,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CLICC-ML-2096,Campus Library Instructional Computing Commons
2023-01-09,14:18:09,2023-01-24,16:19:13,2023-01-23,MP123,B3A6D5BAA20B2A44C08ACEFC7CE25E64120B05B1,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-PCB-20,Campus Library Instructional Computing Commons
2023-01-09,14:26:15,2023-01-09,15:21:02,2023-01-09,WALLADPT45,973EF8FCCB314797F345AAD73BA4B3FEE67ABE77,-1,UCLA Undergrad,CLICC USB Wall Adapter,CLICC 6 Hour Loan Period,,Campus Library Instructional Computing Commons
2023-01-09,14:26:24,2023-01-09,15:21:05,2023-01-09,IPHONE34,973EF8FCCB314797F345AAD73BA4B3FEE67ABE77,-1,UCLA Undergrad,CLICC Phone Cable,CLICC 6 Hour Loan Period,IPH-YRL-10,Campus Library Instructional Computing Commons
2023-01-09,14:27:08,2023-01-23,14:02:14,2023-01-23,CBK096,F66D347DDD1DACA89B643C58BBFF00982CC8A7E2,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CYRL-22,Campus Library Instructional Computing Commons
2023-01-09,14:28:11,2023-01-23,12:34:58,2023-01-23,MP126,514B70C9A58867A5EA6B41E9C3704FECBA0EBEBD,-1,UCLA Graduate,CLICC Chromebook,1 Week,ML-PC1-02,Campus Library Instructional Computing Commons
2023-01-09,14:40:10,2023-01-19,15:50:34,2023-01-16,MP142,1D5AEAE8BDCA0E6036ABBA81F72EF788FD75C75E,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-PC1-18,Campus Library Instructional Computing Commons
2023-01-09,14:40:32,2023-03-07,14:22:46,2023-04-09,AD2339,5EA2685F3FAE5868A57DD24FF8758290EFC4A07E,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,,SEL/EMS
2023-01-09,14:46:05,2023-01-09,17:09:43,2023-01-16,CBK194,88D1EF67BE3EF8C62595770F152F9574D4ECB4B1,-1,UCLA Staff,CLICC Chromebook,1 Week,CBK-BIO-05,Biomed Library
2023-01-09,14:47:05,2023-01-14,15:09:43,2023-01-17,CBK254,47738CF2A9845B9785CF550A87592EAF67CEFCAC,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CBK-CLICC-05,CLICC Locker
2023-01-09,14:51:44,2023-01-09,15:45:57,2023-01-09,CALC07,17A9D676427597DA58439A9D0F6D016C4947FBA5,-1,UCLA Undergrad,CLICC Calculator,CLICC 6 Hour Loan Period,CAL-POW-06,Campus Library Instructional Computing Commons
2023-01-09,15:00:44,2023-03-17,12:10:04,2023-04-09,AD2146,27E563FE3F2E07869801A1185D7BA02813B0C404,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 146,SEL/EMS
2023-01-09,15:12:28,2023-01-23,16:47:47,2023-01-23,MP168,84207CACFF64926AE9AB5CE625089A3992B7B724,-1,UCLA Graduate,CLICC Chromebook,1 Week,ML-CMM-08,Campus Library Instructional Computing Commons
2023-01-09,15:13:36,2023-01-09,17:33:38,2023-01-09,IPHONE80,64AB13FAB1EBBB4E60A6430E5BA5D8FC1C536B85,-1,UCLA Undergrad,CLICC Phone Cable,CLICC 6 Hour Loan Period,,Campus Library Instructional Computing Commons
2023-01-09,15:18:04,2023-01-23,16:28:24,2023-01-23,MP087,DA0474B7884CE9C6ACE4C9E0580C22BBD8AB8161,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CLA-05,Campus Library Instructional Computing Commons
2023-01-09,15:23:04,2023-01-23,14:34:23,2023-01-23,MP063,9C6DB9257444BF073DAC8B900E5119EC6D4516BE,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-POW-02,Campus Library Instructional Computing Commons
